date,vehicle_total,diesel,e5,e10,month,cpi,diesel_real,e5_real,e10_real,temp,rain,is_holiday,is_weekend
2014-07-01,621568,1.411,1.643,1.603,2014-07,94.3,1.496,1.742,1.7,14.9,0.0,0,0
2014-07-02,651879,1.409,1.636,1.596,2014-07,94.3,1.494,1.735,1.692,16.1,0.0,0,0
2014-07-03,641053,1.394,1.627,1.587,2014-07,94.3,1.478,1.725,1.683,19.0,0.0,0,0
2014-07-04,597738,1.397,1.633,1.593,2014-07,94.3,1.481,1.732,1.689,22.0,0.0,0,0
2014-07-05,417969,1.395,1.621,1.581,2014-07,94.3,1.479,1.719,1.677,19.9,8.5,0,1
2014-07-06,366146,1.393,1.619,1.579,2014-07,94.3,1.477,1.717,1.674,21.2,4.3,0,1
2014-07-07,595569,1.402,1.629,1.589,2014-07,94.3,1.487,1.727,1.685,18.4,6.4,0,0
2014-07-08,563822,1.396,1.622,1.582,2014-07,94.3,1.48,1.72,1.678,14.8,33.9,0,0
2014-07-09,572562,1.396,1.628,1.588,2014-07,94.3,1.48,1.726,1.684,13.9,35.9,0,0
2014-07-10,597082,1.4,1.634,1.594,2014-07,94.3,1.485,1.733,1.69,20.4,0.7,0,0
2014-07-11,611822,1.388,1.624,1.584,2014-07,94.3,1.472,1.722,1.68,19.7,0.1,0,0
2014-07-12,421659,1.391,1.621,1.581,2014-07,94.3,1.475,1.719,1.677,18.7,0.2,0,1
2014-07-13,330635,1.395,1.626,1.586,2014-07,94.3,1.479,1.724,1.682,18.2,1.8,0,1
2014-07-14,575494,1.384,1.616,1.576,2014-07,94.3,1.468,1.714,1.671,17.6,1.1,0,0
2014-07-15,589705,1.385,1.611,1.571,2014-07,94.3,1.469,1.708,1.666,17.1,0.0,0,0
2014-07-16,594110,1.383,1.606,1.566,2014-07,94.3,1.467,1.703,1.661,20.7,0.0,0,0
2014-07-17,594830,1.373,1.598,1.558,2014-07,94.3,1.456,1.695,1.652,22.5,0.0,0,0
2014-07-18,611975,1.394,1.612,1.572,2014-07,94.3,1.478,1.709,1.667,25.7,0.0,0,0
2014-07-19,419661,1.387,1.609,1.569,2014-07,94.3,1.471,1.706,1.664,27.1,0.1,0,1
2014-07-20,366940,1.397,1.609,1.569,2014-07,94.3,1.481,1.706,1.664,22.7,12.0,0,1
2014-07-21,559593,1.375,1.59,1.55,2014-07,94.3,1.458,1.686,1.644,19.7,25.2,0,0
2014-07-22,576275,1.395,1.614,1.574,2014-07,94.3,1.479,1.712,1.669,22.4,0.0,0,0
2014-07-23,586630,1.379,1.594,1.554,2014-07,94.3,1.462,1.69,1.648,23.8,0.0,0,0
2014-07-24,594864,1.416,1.624,1.584,2014-07,94.3,1.502,1.722,1.68,20.6,9.2,0,0
2014-07-25,604949,1.409,1.621,1.581,2014-07,94.3,1.494,1.719,1.677,18.8,0.0,0,0
2014-07-26,422963,1.393,1.599,1.559,2014-07,94.3,1.477,1.696,1.653,19.1,0.0,0,1
2014-07-27,372208,1.394,1.604,1.564,2014-07,94.3,1.478,1.701,1.659,20.3,0.0,0,1
2014-07-28,564154,1.392,1.598,1.558,2014-07,94.3,1.476,1.695,1.652,21.4,10.4,0,0
2014-07-29,574472,1.395,1.599,1.559,2014-07,94.3,1.479,1.696,1.653,21.2,0.9,0,0
2014-07-30,589730,1.406,1.607,1.567,2014-07,94.3,1.491,1.704,1.662,20.0,0.0,0,0
2014-07-31,597617,1.398,1.607,1.567,2014-07,94.3,1.483,1.704,1.662,19.4,0.0,0,0
2014-08-01,607737,1.388,1.586,1.546,2014-08,94.3,1.472,1.682,1.639,21.9,0.0,0,0
2014-08-02,423858,1.399,1.604,1.564,2014-08,94.3,1.484,1.701,1.659,21.5,24.1,0,1
2014-08-03,395311,1.396,1.596,1.556,2014-08,94.3,1.48,1.692,1.65,20.3,6.2,0,1
2014-08-04,564594,1.39,1.591,1.551,2014-08,94.3,1.474,1.687,1.645,19.4,0.4,0,0
2014-08-05,580519,1.391,1.581,1.541,2014-08,94.3,1.475,1.677,1.634,19.2,0.0,0,0
2014-08-06,579440,1.404,1.591,1.551,2014-08,94.3,1.489,1.687,1.645,18.1,3.2,0,0
2014-08-07,587395,1.39,1.579,1.539,2014-08,94.3,1.474,1.674,1.632,19.3,0.0,0,0
2014-08-08,589280,1.391,1.576,1.536,2014-08,94.3,1.475,1.671,1.629,19.9,6.9,0,0
2014-08-09,424105,1.395,1.58,1.54,2014-08,94.3,1.479,1.676,1.633,19.5,0.1,0,1
2014-08-10,376408,1.402,1.586,1.546,2014-08,94.3,1.487,1.682,1.639,19.4,2.2,0,1
2014-08-11,581526,1.398,1.589,1.549,2014-08,94.3,1.483,1.685,1.643,16.5,2.3,0,0
2014-08-12,596027,1.387,1.581,1.541,2014-08,94.3,1.471,1.677,1.634,16.0,2.4,0,0
2014-08-13,609322,1.386,1.582,1.542,2014-08,94.3,1.47,1.678,1.635,16.0,2.0,0,0
2014-08-14,618479,1.393,1.592,1.552,2014-08,94.3,1.477,1.688,1.646,15.2,1.5,0,0
2014-08-15,617557,1.384,1.576,1.536,2014-08,94.3,1.468,1.671,1.629,14.8,6.8,0,0
2014-08-16,445164,1.389,1.573,1.533,2014-08,94.3,1.473,1.668,1.626,15.0,2.0,0,1
2014-08-17,397324,1.39,1.576,1.536,2014-08,94.3,1.474,1.671,1.629,15.1,7.0,0,1
2014-08-18,604281,1.376,1.568,1.528,2014-08,94.3,1.459,1.663,1.62,14.2,3.1,0,0
2014-08-19,612357,1.388,1.579,1.539,2014-08,94.3,1.472,1.674,1.632,12.7,1.4,0,0
2014-08-20,621182,1.38,1.571,1.531,2014-08,94.3,1.463,1.666,1.624,12.6,0.4,0,0
2014-08-21,619590,1.386,1.577,1.537,2014-08,94.3,1.47,1.672,1.63,13.6,0.0,0,0
2014-08-22,633257,1.386,1.579,1.538,2014-08,94.3,1.47,1.674,1.631,14.1,1.1,0,0
2014-08-23,435272,1.377,1.57,1.53,2014-08,94.3,1.46,1.665,1.622,13.4,0.0,0,1
2014-08-24,404639,1.391,1.584,1.544,2014-08,94.3,1.475,1.68,1.637,12.5,0.1,0,1
2014-08-25,598126,1.389,1.578,1.538,2014-08,94.3,1.473,1.673,1.631,13.8,11.9,0,0
2014-08-26,592649,1.391,1.584,1.544,2014-08,94.3,1.475,1.68,1.637,13.6,10.5,0,0
2014-08-27,624626,1.394,1.595,1.555,2014-08,94.3,1.478,1.691,1.649,15.7,0.0,0,0
2014-08-28,634941,1.39,1.593,1.553,2014-08,94.3,1.474,1.689,1.647,17.8,0.2,0,0
2014-08-29,650611,1.392,1.591,1.551,2014-08,94.3,1.476,1.687,1.645,16.5,0.2,0,0
2014-08-30,493738,1.388,1.587,1.547,2014-08,94.3,1.472,1.683,1.641,16.3,4.5,0,1
2014-08-31,417766,1.405,1.595,1.555,2014-08,94.3,1.49,1.691,1.649,14.0,6.0,0,1
2014-09-01,615702,1.389,1.59,1.55,2014-09,94.3,1.473,1.686,1.644,14.2,0.0,0,0
2014-09-02,623597,1.391,1.59,1.551,2014-09,94.3,1.475,1.686,1.645,15.2,0.0,0,0
2014-09-03,639978,1.375,1.582,1.543,2014-09,94.3,1.458,1.678,1.636,16.5,0.0,0,0
2014-09-04,637097,1.382,1.584,1.545,2014-09,94.3,1.466,1.68,1.638,18.3,0.0,0,0
2014-09-05,649947,1.384,1.585,1.546,2014-09,94.3,1.468,1.681,1.639,19.1,0.0,0,0
2014-09-06,478359,1.396,1.59,1.55,2014-09,94.3,1.48,1.686,1.644,18.3,0.0,0,1
2014-09-07,423282,1.394,1.588,1.549,2014-09,94.3,1.478,1.684,1.643,17.5,0.0,0,1
2014-09-08,597680,1.391,1.585,1.545,2014-09,94.3,1.475,1.681,1.638,15.6,0.0,0,0
2014-09-09,607059,1.388,1.585,1.545,2014-09,94.3,1.472,1.681,1.638,14.4,0.0,0,0
2014-09-10,613880,1.383,1.582,1.543,2014-09,94.3,1.467,1.678,1.636,15.1,0.0,0,0
2014-09-11,622126,1.381,1.58,1.541,2014-09,94.3,1.464,1.676,1.634,15.5,0.0,0,0
2014-09-12,645192,1.369,1.57,1.53,2014-09,94.3,1.452,1.665,1.622,15.1,0.0,0,0
2014-09-13,470326,1.379,1.579,1.54,2014-09,94.3,1.462,1.674,1.633,15.4,0.0,0,1
2014-09-14,417041,1.389,1.584,1.545,2014-09,94.3,1.473,1.68,1.638,16.0,0.0,0,1
2014-09-15,590598,1.382,1.579,1.539,2014-09,94.3,1.466,1.674,1.632,16.5,0.0,0,0
2014-09-16,614564,1.384,1.581,1.541,2014-09,94.3,1.468,1.677,1.634,18.4,0.0,0,0
2014-09-17,619593,1.381,1.579,1.54,2014-09,94.3,1.464,1.674,1.633,18.1,0.0,0,0
2014-09-18,615745,1.363,1.568,1.529,2014-09,94.3,1.445,1.663,1.621,18.1,0.0,0,0
2014-09-19,631892,1.386,1.584,1.544,2014-09,94.3,1.47,1.68,1.637,18.8,0.0,0,0
2014-09-20,459678,1.373,1.571,1.532,2014-09,94.3,1.456,1.666,1.625,18.0,0.0,0,1
2014-09-21,402786,1.397,1.591,1.551,2014-09,94.3,1.481,1.687,1.645,15.9,0.0,0,1
2014-09-22,607808,1.381,1.577,1.537,2014-09,94.3,1.464,1.672,1.63,13.2,0.0,0,0
2014-09-23,630418,1.382,1.582,1.543,2014-09,94.3,1.466,1.678,1.636,11.1,0.0,0,0
2014-09-24,627300,1.382,1.585,1.545,2014-09,94.3,1.466,1.681,1.638,11.2,0.0,0,0
2014-09-25,640289,1.371,1.573,1.534,2014-09,94.3,1.454,1.668,1.627,13.8,0.0,0,0
2014-09-26,636421,1.376,1.573,1.534,2014-09,94.3,1.459,1.668,1.627,14.9,0.0,0,0
2014-09-27,472198,1.375,1.57,1.531,2014-09,94.3,1.458,1.665,1.624,15.3,0.0,0,1
2014-09-28,409048,1.383,1.575,1.536,2014-09,94.3,1.467,1.67,1.629,15.3,0.0,0,1
2014-09-29,606269,1.373,1.571,1.532,2014-09,94.3,1.456,1.666,1.625,16.8,0.0,0,0
2014-09-30,628596,1.375,1.573,1.534,2014-09,94.3,1.458,1.668,1.627,15.8,0.0,0,0
