date,diesel,e5,e10
2014-07-01,1.411,1.643,1.603
2014-07-02,1.409,1.636,1.596
2014-07-03,1.394,1.627,1.587
2014-07-04,1.397,1.633,1.593
2014-07-05,1.395,1.621,1.581
2014-07-06,1.393,1.619,1.579
2014-07-07,1.402,1.629,1.589
2014-07-08,1.396,1.622,1.582
2014-07-09,1.396,1.628,1.588
2014-07-10,1.4,1.634,1.594
2014-07-11,1.388,1.624,1.584
2014-07-12,1.391,1.621,1.581
2014-07-13,1.395,1.626,1.586
2014-07-14,1.384,1.616,1.576
2014-07-15,1.385,1.611,1.571
2014-07-16,1.383,1.606,1.566
2014-07-17,1.373,1.598,1.558
2014-07-18,1.394,1.612,1.572
2014-07-19,1.387,1.609,1.569
2014-07-20,1.397,1.609,1.569
2014-07-21,1.375,1.59,1.55
2014-07-22,1.395,1.614,1.574
2014-07-23,1.379,1.594,1.554
2014-07-24,1.416,1.624,1.584
2014-07-25,1.409,1.621,1.581
2014-07-26,1.393,1.599,1.559
2014-07-27,1.394,1.604,1.564
2014-07-28,1.392,1.598,1.558
2014-07-29,1.395,1.599,1.559
2014-07-30,1.406,1.607,1.567
2014-07-31,1.398,1.607,1.567
2014-08-01,1.388,1.586,1.546
2014-08-02,1.399,1.604,1.564
2014-08-03,1.396,1.596,1.556
2014-08-04,1.39,1.591,1.551
2014-08-05,1.391,1.581,1.541
2014-08-06,1.404,1.591,1.551
2014-08-07,1.39,1.579,1.539
2014-08-08,1.391,1.576,1.536
2014-08-09,1.395,1.58,1.54
2014-08-10,1.402,1.586,1.546
2014-08-11,1.398,1.589,1.549
2014-08-12,1.387,1.581,1.541
2014-08-13,1.386,1.582,1.542
2014-08-14,1.393,1.592,1.552
2014-08-15,1.384,1.576,1.536
2014-08-16,1.389,1.573,1.533
2014-08-17,1.39,1.576,1.536
2014-08-18,1.376,1.568,1.528
2014-08-19,1.388,1.579,1.539
2014-08-20,1.38,1.571,1.531
2014-08-21,1.386,1.577,1.537
2014-08-22,1.386,1.579,1.538
2014-08-23,1.377,1.57,1.53
2014-08-24,1.391,1.584,1.544
2014-08-25,1.389,1.578,1.538
