uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json
ee34d5a4-be1a-2a3a-e040-0b0a3dfe5d3f,"Düsseldorf, Karl-Geusen-Str. 171a",HEM,Karl-Geusen-Str. A,171,40231,Düsseldorf,51.206769,6.822315,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""24:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""06:00"",""endp"":""24:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""24:00""}]}]}"
e1dc26cc-82e0-4d77-b6ac-9af9d7c0832a,Aral Tankstelle,ARAL,Pariser Straße ,82,40549,Düsseldorf,51.233334,6.727858,2014-03-18 16:45:31+01,{}
61f82d94-1280-4fbe-9c36-e3c40d6967ea,Aral Tankstelle,ARAL,Bergische Landstraße ,605,40629,Düsseldorf,51.26051,6.908724,2014-03-18 16:45:31+01,{}
748b6d98-64f6-4030-86c7-26887a915eb3,Aral Tankstelle,ARAL,Münchener Straße ,300 / It,40589,Düsseldorf,51.169052,6.822734,2014-03-18 16:45:31+01,{}
1241bc5a-5571-4cee-bce0-d0ab82000d8c,Aral Tankstelle,ARAL,Südring ,115,40221,Düsseldorf,51.20101,6.763259,2014-03-18 16:45:31+01,{}
7d09ea41-77b4-4e0a-b2e1-5611b990ca3c,Aral Tankstelle,ARAL,Luetticher Straße ,108,40547,Düsseldorf,51.24112,6.743643,2014-03-18 16:45:31+01,{}
404b23d9-3446-4b68-ab7e-3fdced82c872,TSB Tankstellenbetriebs-GmbH,Freie Tankstelle,Ahnfeldstr. ,12,40239,Düsseldorf,51.238475,6.797713,2014-03-18 16:45:31+01,{}
fb2a947e-f997-4d6a-a4fc-596ea54ff751,Kö-Garage,,Talstr.,1,40217,Düsseldorf,51.217077,6.77868,2014-03-18 16:45:31+01,{}
92b97c69-05fb-4a6e-994a-f2a5a2581d0e,PM,PM,Kölner Landstraße,244,40591,Düsseldorf,51.1849327,6.82082,2014-03-18 16:45:31+01,{}
44afad52-0417-459c-9951-8ba9457c2092,Aral Tankstelle,ARAL,Freiligrathplatz ,32,40474,Düsseldorf,51.265087,6.753424,2014-03-18 16:45:31+01,{}
