date,diesel,e5,e10
2016-12-31,1.204,1.396,1.376
2016-12-30,1.203,1.395,1.375
2016-12-29,1.206,1.398,1.378
2016-12-28,1.2,1.392,1.372
2016-12-27,1.196,1.394,1.374
2016-12-26,1.196,1.389,1.369
2016-12-25,1.203,1.401,1.382
2016-12-24,1.194,1.39,1.37
2016-12-23,1.201,1.395,1.375
2016-12-22,1.199,1.387,1.367
2016-12-21,1.2,1.386,1.366
2016-12-20,1.199,1.386,1.366
2016-12-19,1.199,1.381,1.361
2016-12-18,1.203,1.389,1.369
2016-12-17,1.193,1.381,1.361
2016-12-16,1.194,1.382,1.362
2016-12-15,1.192,1.38,1.36
2016-12-14,1.211,1.393,1.373
2016-12-13,1.193,1.376,1.356
2016-12-12,1.2,1.379,1.359
2016-12-11,1.191,1.384,1.364
2016-12-10,1.182,1.374,1.354
2016-12-09,1.179,1.368,1.348
2016-12-08,1.183,1.372,1.352
2016-12-07,1.187,1.374,1.354
2016-12-06,1.184,1.375,1.355
2016-12-05,1.182,1.369,1.349
2016-12-04,1.18,1.368,1.348
2016-12-03,1.178,1.367,1.347
2016-12-02,1.168,1.352,1.332
2016-12-01,1.164,1.347,1.327
2016-11-30,1.156,1.335,1.315
2016-11-29,1.153,1.332,1.312
2016-11-28,1.151,1.33,1.31
2016-11-27,1.15,1.337,1.317
2016-11-26,1.155,1.347,1.327
2016-11-25,1.148,1.342,1.322
2016-11-24,1.144,1.335,1.316
2016-11-23,1.141,1.334,1.314
2016-11-22,1.122,1.313,1.293
2016-11-21,1.132,1.319,1.299
2016-11-20,1.112,1.303,1.283
2016-11-19,1.113,1.306,1.286
2016-11-18,1.105,1.297,1.277
2016-11-17,1.104,1.298,1.278
2016-11-16,1.11,1.307,1.287
2016-11-15,1.1,1.291,1.271
2016-11-14,1.111,1.305,1.285
2016-11-13,1.116,1.31,1.29
2016-11-12,1.12,1.317,1.297
2016-11-11,1.116,1.308,1.288
2016-11-10,1.11,1.309,1.289
2016-11-09,1.111,1.312,1.292
2016-11-08,1.117,1.323,1.303
2016-11-07,1.125,1.327,1.307
2016-11-06,1.125,1.338,1.318
2016-11-05,1.135,1.341,1.321
2016-11-04,1.122,1.322,1.302
2016-11-03,1.13,1.328,1.308
2016-11-02,1.132,1.327,1.307
2016-11-01,1.134,1.328,1.308
2016-10-31,1.156,1.351,1.331
2016-10-30,1.143,1.341,1.321
2016-10-29,1.153,1.353,1.333
2016-10-28,1.143,1.34,1.32
2016-10-27,1.145,1.344,1.324
2016-10-26,1.148,1.347,1.327
2016-10-25,1.151,1.342,1.322
2016-10-24,1.157,1.347,1.327
2016-10-23,1.162,1.353,1.333
2016-10-22,1.152,1.345,1.325
2016-10-21,1.152,1.345,1.325
2016-10-20,1.147,1.342,1.322
2016-10-19,1.149,1.345,1.325
2016-10-18,1.145,1.349,1.329
2016-10-17,1.152,1.354,1.334
2016-10-16,1.15,1.35,1.33
2016-10-15,1.191,1.388,1.368
2016-10-14,1.149,1.345,1.325
2016-10-13,1.145,1.345,1.325
2016-10-12,1.145,1.35,1.33
2016-10-11,1.14,1.354,1.334
2016-10-10,1.136,1.341,1.321
2016-10-09,1.142,1.352,1.332
2016-10-08,1.143,1.355,1.335
2016-10-07,1.129,1.344,1.324
2016-10-06,1.12,1.341,1.321
2016-10-05,1.124,1.336,1.316
2016-10-04,1.101,1.318,1.298
2016-10-03,1.12,1.333,1.313
2016-10-02,1.122,1.333,1.313
2016-10-01,1.11,1.326,1.306
2016-09-30,1.095,1.315,1.295
2016-09-29,1.094,1.315,1.295
2016-09-28,1.089,1.311,1.291
2016-09-27,1.097,1.317,1.297
2016-09-26,1.091,1.32,1.3
2016-09-25,1.091,1.32,1.3
2016-09-24,1.1,1.329,1.309
2016-09-23,1.085,1.318,1.298
2016-09-22,1.084,1.319,1.299
2016-09-21,1.078,1.314,1.294
2016-09-20,1.079,1.315,1.295
2016-09-19,1.084,1.315,1.295
2016-09-18,1.092,1.323,1.303
2016-09-17,1.096,1.327,1.307
2016-09-16,1.093,1.333,1.313
2016-09-15,1.098,1.331,1.312
2016-09-14,1.095,1.324,1.304
2016-09-13,1.099,1.328,1.308
2016-09-12,1.109,1.337,1.317
2016-09-11,1.123,1.344,1.324
2016-09-10,1.107,1.328,1.308
2016-09-09,1.102,1.323,1.303
2016-09-08,1.097,1.313,1.293
2016-09-07,1.098,1.316,1.296
2016-09-06,1.095,1.314,1.294
2016-09-05,1.094,1.32,1.3
2016-09-04,1.093,1.314,1.294
2016-09-03,1.09,1.314,1.294
2016-09-02,1.098,1.313,1.293
2016-09-01,1.097,1.311,1.291
2016-08-31,1.101,1.315,1.295
2016-08-30,1.101,1.313,1.293
2016-08-29,1.101,1.314,1.294
2016-08-28,1.104,1.318,1.298
2016-08-27,1.102,1.315,1.295
2016-08-26,1.099,1.316,1.296
2016-08-25,1.096,1.309,1.289
2016-08-24,1.097,1.31,1.29
2016-08-23,1.097,1.306,1.286
2016-08-22,1.097,1.307,1.287
2016-08-21,1.104,1.316,1.296
2016-08-20,1.096,1.305,1.285
2016-08-19,1.095,1.312,1.292
2016-08-18,1.092,1.309,1.289
2016-08-17,1.08,1.298,1.278
2016-08-16,1.07,1.297,1.277
2016-08-15,1.071,1.293,1.274
2016-08-14,1.069,1.295,1.275
2016-08-13,1.072,1.297,1.277
2016-08-12,1.054,1.287,1.267
2016-08-11,1.054,1.289,1.269
2016-08-10,1.058,1.292,1.272
2016-08-09,1.058,1.297,1.277
2016-08-08,1.047,1.29,1.27
2016-08-07,1.05,1.292,1.272
2016-08-06,1.045,1.286,1.266
2016-08-05,1.041,1.287,1.267
2016-08-04,1.031,1.278,1.258
