date,vehicle_total
2015-01-01,187171
2015-01-02,365311
2015-01-03,302408
2015-01-04,269624
2015-01-05,461257
2015-01-06,484224
2015-01-07,488613
2015-01-08,489767
2015-01-09,509257
2015-01-10,333883
2015-01-11,265162
2015-01-12,505811
2015-01-13,517866
2015-01-14,521948
2015-01-15,524883
2015-01-16,543900
2015-01-17,383053
2015-01-18,300861
2015-01-19,519133
2015-01-20,525442
2015-01-21,537180
2015-01-22,542191
2015-01-23,556357
2015-01-24,297247
2015-01-25,279732
2015-01-26,501686
2015-01-27,521576
2015-01-28,528922
2015-01-29,527843
2015-01-30,531737
2015-01-31,371261
2015-02-01,285559
2015-02-02,446386
2015-02-03,513307
2015-02-04,512231
2015-02-05,532252
2015-02-06,547043
2015-02-07,371676
2015-02-08,286370
2015-02-09,514253
2015-02-10,531520
2015-02-11,544178
2015-02-12,493765
2015-02-13,507465
2015-02-14,339827
2015-02-15,270251
2015-02-16,343256
2015-02-17,495260
2015-02-18,522238
2015-02-19,531676
2015-02-20,556859
2015-02-21,384309
2015-02-22,306950
2015-02-23,496424
2015-02-24,520376
2015-02-25,533395
2015-02-26,545982
2015-02-27,553266
2015-02-28,412686
2015-03-01,330140
2015-03-02,515337
2015-03-03,525334
2015-03-04,534041
2015-03-05,542030
2015-03-06,557198
2015-03-07,407602
2015-03-08,352760
2015-03-09,520650
2015-03-10,535095
2015-03-11,538672
2015-03-12,546947
2015-03-13,559368
2015-03-14,398254
2015-03-15,330103
2015-03-16,538331
2015-03-17,548401
2015-03-18,556393
2015-03-19,556692
2015-03-20,547255
2015-03-21,370061
2015-03-22,314278
2015-03-23,523231
2015-03-24,528857
2015-03-25,534092
2015-03-26,543314
2015-03-27,557492
2015-03-28,396986
2015-03-29,295950
2015-03-30,503712
2015-03-31,518708
2015-04-01,526579
2015-04-02,527790
2015-04-03,292145
2015-04-04,324237
2015-04-05,318694
2015-04-06,323941
2015-04-07,512805
2015-04-08,517266
2015-04-09,528349
2015-04-10,535841
2015-04-11,378287
2015-04-12,336789
2015-04-13,527434
2015-04-14,540830
2015-04-15,557669
2015-04-16,562231
2015-04-17,572270
2015-04-18,407513
2015-04-19,349991
2015-04-20,532460
2015-04-21,533332
2015-04-22,573148
2015-04-23,570462
2015-04-24,568547
2015-04-25,394576
2015-04-26,329916
2015-04-27,538701
2015-04-28,543485
2015-04-29,559087
2015-04-30,587681
2015-05-01,323679
2015-05-02,383244
2015-05-03,336224
2015-05-04,537709
2015-05-05,550928
2015-05-06,568879
2015-05-07,575604
2015-05-08,590658
2015-05-09,419901
2015-05-10,387153
2015-05-11,531672
2015-05-12,538427
2015-05-13,577922
2015-05-14,319846
2015-05-15,462575
2015-05-16,364040
2015-05-17,349493
2015-05-18,532522
2015-05-19,537090
2015-05-20,562508
2015-05-21,561173
2015-05-22,564052
2015-05-23,381937
2015-05-24,328021
2015-05-25,302270
2015-05-26,534270
2015-05-27,556500
2015-05-28,555800
2015-05-29,564473
2015-05-30,418790
2015-05-31,346638
2015-06-01,533914
2015-06-02,535072
2015-06-03,577845
2015-06-04,330124
2015-06-05,481889
2015-06-06,366225
2015-06-07,362670
2015-06-08,531145
2015-06-09,537184
2015-06-10,548554
2015-06-11,556188
2015-06-12,556617
2015-06-13,397159
2015-06-14,352583
2015-06-15,542794
2015-06-16,542339
2015-06-17,556130
2015-06-18,552787
2015-06-19,558897
2015-06-20,376804
2015-06-21,316325
2015-06-22,522375
2015-06-23,534066
2015-06-24,547864
2015-06-25,552981
2015-06-26,553363
2015-06-27,388314
2015-06-28,341890
2015-06-29,519477
2015-06-30,525523
2015-07-01,529400
2015-07-02,526361
2015-07-03,526667
2015-07-04,348770
2015-07-05,301840
2015-07-06,497123
2015-07-07,498587
2015-07-08,513212
2015-07-09,519879
2015-07-10,537373
2015-07-11,357096
2015-07-12,306466
2015-07-13,497281
2015-07-14,494958
2015-07-15,509833
2015-07-16,520301
2015-07-17,533212
2015-07-18,378841
2015-07-19,330913
2015-07-20,488819
2015-07-21,492262
2015-07-22,506170
2015-07-23,517951
2015-07-24,530475
2015-07-25,344384
2015-07-26,338246
2015-07-27,490601
2015-07-28,500225
2015-07-29,509732
2015-07-30,517290
2015-07-31,532061
2015-08-01,394040
2015-08-02,364885
2015-08-03,507727
2015-08-04,508735
2015-08-05,532319
2015-08-06,532374
2015-08-07,537221
2015-08-08,393220
2015-08-09,361268
2015-08-10,522198
2015-08-11,536773
2015-08-12,541107
2015-08-13,545069
2015-08-14,550535
2015-08-15,404179
2015-08-16,338403
2015-08-17,517276
