Datum,Tmin,Tmit,Tmax,Sges,Rges,Tbod,RFmin,RFmit,RFmax,Wmit,WBmax
01.01.2015,"-1,7","1,8","6,2","5,1","3,7","-3,3",79,"93,3",100,9,35
02.01.2015,"2,6","5,4","9,3","2,2","1,3","1,1",66,"82,9",100,12,44
03.01.2015,"0,6","2,6","4,7",0,"6,9","-0,2",82,93,100,8,35
04.01.2015,"0,7","3,2","6,7","6,7","0,0","-2,5",78,"92,5",100,9,33
05.01.2015,"-0,4","2,4","5,2","4,2","0,0","-2,9",74,91,100,6,24
06.01.2015,"-0,4","2,1",5,"3,4","2,1","-2,5",68,"84,7",100,8,28
07.01.2015,"1,7","4,1","7,5","5,4","5,8","0,2",76,"91,7",100,10,31
08.01.2015,"2,4","5,5","9,2",0,"18,4","2,1",87,"96,9",100,12,59
09.01.2015,"5,6",9,"13,4",0,"6,6","4,1",77,"89,5",100,17,61
10.01.2015,"3,9","10,9","13,9",0,"1,3","2,3",66,"81,7",93,20,70
11.01.2015,"2,9","4,7","6,7","0,6","0,1","1,5",71,"78,7",89,15,61
12.01.2015,"6,5","8,1","10,4",0,"0,1","5,6",75,"80,4",87,18,52
13.01.2015,"7,4","9,6","12,6","0,9","6,9","5,7",65,80,97,17,63
14.01.2015,2,"4,4","8,3","0,1","3,2","1,4",75,"86,2",97,14,57
15.01.2015,"3,9","8,2","11,1",0,"2,3","3,1",72,"80,9",90,21,61
16.01.2015,3,6,"8,2","0,4","0,0","0,1",75,"82,2",93,8,35
17.01.2015,1,"2,9","5,8","4,1","0,0","-1,7",69,"88,6",100,6,22
18.01.2015,"-0,1","2,5","5,1","0,4","0,0","-1,7",71,"79,6",88,12,33
19.01.2015,"-1,3","0,3","2,2","0,4","0,0",-3,85,"91,7",100,5,19
20.01.2015,"0,2","1,3","3,1","0,4","0,0","-0,3",72,"85,4",99,5,15
21.01.2015,"-1,3","1,5","4,2","3,4","0,0","-3,1",61,"75,3",88,7,24
22.01.2015,"-0,5","0,8","1,9","0,4","0,0","-1,2",78,"84,8",89,9,30
23.01.2015,-1,0,"0,9",0,"0,0","-2,2",86,"89,3",93,7,30
24.01.2015,"-1,4","0,6","2,8","0,2","7,5","-7,8",89,"95,9",100,8,26
25.01.2015,"-3,6","0,6","3,1",0,"4,2",-10,94,"99,4",100,4,15
26.01.2015,"1,7","3,5","6,5",0,"8,1","1,2",90,"98,1",100,9,35
27.01.2015,"1,4",4,"5,8","0,3","0,3","-0,2",88,"93,4",99,10,33
28.01.2015,"1,4","4,4","7,2",0,"2,6","0,2",78,"89,5",100,15,56
29.01.2015,"1,4","3,1","5,6","1,4","2,9","0,2",74,"84,6",96,13,48
30.01.2015,"0,4","1,7","3,7",1,"1,0",0,79,"90,8",100,10,35
31.01.2015,"-1,7","1,8","5,8","3,4","0,0","-4,2",72,"90,5",100,7,28
01.02.2015,"-1,2","1,7","3,9",0,"4,8","-2,6",88,"95,9",100,7,24
02.02.2015,"0,2","1,5","2,5",0,"1,9","-0,2",93,"96,4",100,11,33
03.02.2015,"-0,9",1,"3,3",0,"1,5",-4,87,"95,7",100,7,26
04.02.2015,"-3,8","-0,7","3,5","1,1","0,0","-6,8",77,"93,2",100,5,19
05.02.2015,"-3,9","-1,2","1,1","3,7","0,0","-6,5",65,"82,5",98,9,41
06.02.2015,"-2,6","-0,2","3,6","7,9","0,0","-3,7",59,"72,8",81,15,48
07.02.2015,"-4,6",1,6,"6,5","0,0",-7,49,"82,3",100,9,30
08.02.2015,"2,6","3,9","5,8","2,4","0,0",1,60,"80,8",97,14,41
09.02.2015,"3,1","4,7","6,2",0,"0,6","2,5",91,"95,5",100,11,30
10.02.2015,"4,9","5,4","6,3",0,"0,0","4,6",85,94,100,7,22
11.02.2015,"1,3","4,1","7,1","3,5","0,0",0,73,"83,8",93,10,26
12.02.2015,"0,7","3,2","7,2","6,3","0,0","-0,4",71,86,94,11,28
13.02.2015,"0,3","3,8","9,5","8,6","0,0","-0,8",61,"81,8",96,15,41
14.02.2015,"1,1","6,4","11,6","6,9","0,0","-1,7",61,"75,9",98,13,41
15.02.2015,"-1,8","3,8","10,5","9,3","0,0","-4,3",57,"82,3",100,5,24
16.02.2015,"-0,8","2,6","6,6","8,8","0,0","-3,5",67,"81,4",97,11,33
17.02.2015,"-0,4","2,2",4,0,"0,3","-3,4",93,"98,6",100,5,19
18.02.2015,"0,4","3,4","6,8","0,6","0,0","-2,8",78,"91,9",100,7,20
19.02.2015,"0,3","2,1","6,2","4,5","0,0","-2,6",70,"85,9",96,13,39
20.02.2015,"1,7","5,5","8,2",0,"8,9","0,8",77,"85,5",95,15,39
21.02.2015,"2,5","4,5","7,2","1,8","0,0","0,8",72,90,97,10,44
22.02.2015,1,"3,2","7,2","3,1","6,5","0,6",68,"85,9",100,10,48
23.02.2015,"0,6","3,6","9,1","0,8","4,1",0,65,"90,8",100,14,61
24.02.2015,"1,3","4,6","7,1","0,8","1,0","-1,4",79,"84,6",100,12,43
25.02.2015,"0,4","4,1","8,5","3,8","0,6","-2,3",75,"92,9",100,9,30
26.02.2015,"1,9","6,2","9,9","3,9","14,8","-0,4",73,"88,8",100,13,39
27.02.2015,"-0,6","5,2","7,6","1,9","0,6","-3,1",61,"84,8",100,13,43
28.02.2015,"-2,3","3,8",9,"9,9","3,5","-4,9",53,"75,7",100,13,44
01.03.2015,"4,2","7,9","11,7","3,9","1,4","3,7",58,"78,3",100,16,56
02.03.2015,"2,2","5,6","9,6","6,2","3,6","1,1",57,"74,5",96,14,63
03.03.2015,"2,9","4,8","9,2","0,4","4,4","1,2",54,"81,1",94,13,56
04.03.2015,"1,5","4,3",8,"3,5","0,8","-0,2",67,"84,4",93,12,48
05.03.2015,"0,2","4,9","8,9","0,6","0,0","-2,1",59,"86,1",100,8,26
06.03.2015,"0,3","4,5","8,8",0,"0,0","-2,2",65,"85,8",100,6,24
07.03.2015,"0,3",7,"14,5","8,5","0,0","-2,1",49,"73,4",100,10,30
08.03.2015,"4,1","10,2","18,7","9,8","0,0","1,2",27,"58,6",84,8,26
09.03.2015,"4,2",8,"12,6","2,3","0,0","1,6",74,92,100,4,13
10.03.2015,"3,4","7,9","13,3","2,6","0,4","0,3",55,"85,1",100,7,33
11.03.2015,"-0,5","4,9","11,8","10,6","0,0","-3,2",36,"75,5",100,5,19
12.03.2015,"-1,7","5,9",14,"10,9","0,0","-4,7",47,"74,6",100,6,28
13.03.2015,"-0,7","5,3","10,1","7,7","0,0","-3,5",44,"65,5",96,9,33
14.03.2015,"1,5","3,9","7,5",2,"0,1","-0,8",70,"81,5",91,10,31
15.03.2015,"3,8","5,8","7,9","0,1","0,1","0,3",71,"82,3",93,11,28
16.03.2015,"0,4","6,7","14,1","10,3","0,0","-3,8",50,"78,1",100,5,19
17.03.2015,"0,7","9,1","19,4","10,3","0,0","-2,6",39,"74,4",100,4,20
18.03.2015,2,"9,2","17,1","10,4","0,0","-1,3",50,"81,1",100,8,35
19.03.2015,"2,2","6,3","7,6",0,"0,0","-1,6",86,"93,7",100,8,22
20.03.2015,"1,2","4,4","8,3","0,2","0,7","-2,5",80,"94,1",100,5,22
21.03.2015,"2,2","5,1","8,2","2,3","9,5","2,3",83,"94,8",100,9,35
22.03.2015,"1,3",5,"9,4","4,6","0,0","-2,7",62,"79,9",98,12,35
23.03.2015,"0,2",6,"11,8","8,8","0,0","-2,8",59,76,90,6,19
24.03.2015,"5,2","8,2","11,8",7,"0,0","3,8",58,73,88,5,19
25.03.2015,"5,6","6,5","7,6",0,"0,6","3,3",84,"91,8",100,8,26
26.03.2015,"4,7","6,1",9,"1,3","2,2","3,7",56,"83,6",99,10,39
27.03.2015,4,7,"9,9","0,8","0,0","0,5",57,"77,4",95,13,46
28.03.2015,"0,4","7,3","12,3",3,"5,0","-3,5",57,"90,3",100,10,39
29.03.2015,"7,5","10,2","12,2",0,"9,9","5,8",79,"89,1",97,18,94
30.03.2015,"5,2","7,6","9,6","7,4","15,1","2,3",48,"68,1",94,18,65
31.03.2015,"3,1",9,"12,4","3,3","2,6","1,5",48,"75,2",100,25,93
01.04.2015,"3,6",6,"8,8","4,2","4,9","2,1",58,"72,8",89,19,67
02.04.2015,"3,4","6,4","9,6","5,7","0,4","1,6",47,"73,4",96,17,56
